Rotulo_Real,Classe_Predita
A,A
B,B
C,I
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,Z
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,A
C,C
D,O
E,C
F,F
G,R
H,M
I,I
J,J
K,K
L,X
M,M
N,G
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,R
V,P
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,G
D,D
E,F
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,P
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,M
B,B
C,Z
D,P
E,E
F,F
G,A
H,A
I,I
J,J
K,M
L,I
M,M
N,N
O,G
P,F
Q,Q
R,R
S,S
T,T
U,L
V,L
W,W
X,X
Y,V
Z,Z
