Rotulo_Real,Classe_Predita
A,A
B,R
C,O
D,O
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,T
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Z
Z,Z
A,R
B,R
C,Q
D,R
E,E
F,F
G,D
H,M
I,J
J,J
K,K
L,L
M,W
N,W
O,R
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Z
Z,Z
A,W
B,B
C,L
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,F
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,V
Z,Z
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,X
Z,Z
A,A
B,B
C,Z
D,O
E,E
F,F
G,G
H,A
I,T
J,J
K,A
L,I
M,P
N,M
O,G
P,R
Q,Q
R,R
S,S
T,T
U,W
V,L
W,L
X,R
Y,P
Z,J
