Rotulo_Real,Classe_Predita
A,A
B,B
C,D
D,O
E,E
F,F
G,G
H,H
I,I
J,L
K,L
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,R
D,Q
E,R
F,F
G,R
H,H
I,F
J,R
K,K
L,K
M,M
N,N
O,O
P,R
Q,Q
R,R
S,S
T,T
U,N
V,V
W,W
X,R
Y,K
Z,R
A,W
B,B
C,C
D,D
E,E
F,E
G,G
H,H
I,I
J,S
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,X
B,S
C,Q
D,B
E,F
F,F
G,G
H,H
I,I
J,V
K,R
L,L
M,M
N,R
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,Z
X,K
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,R
G,G
H,A
I,Z
J,Z
K,M
L,S
M,M
N,M
O,E
P,P
Q,Q
R,R
S,S
T,T
U,H
V,B
W,A
X,A
Y,Y
Z,Z
