Rotulo_Real,Classe_Predita
A,H
A,H
A,H
A,H
A,Q
B,D
B,D
B,O
B,S
B,D
C,C
C,Q
C,W
C,V
C,E
D,D
D,D
D,D
D,Z
D,Q
E,P
E,A
E,P
E,W
E,P
F,K
F,P
F,D
F,F
F,F
G,N
G,A
G,P
G,G
G,G
H,N
H,H
H,V
H,N
H,J
I,V
I,J
I,O
I,G
I,T
J,J
J,J
J,A
J,A
J,J
K,K
K,R
K,A
K,H
K,X
L,Z
L,L
L,E
L,K
L,O
M,M
M,M
M,G
M,G
M,R
N,N
N,N
N,K
N,M
N,N
O,W
O,H
O,B
O,D
O,N
P,F
P,R
P,D
P,R
P,P
Q,J
Q,T
Q,Q
Q,N
Q,Q
R,H
R,G
R,H
R,V
R,P
S,S
S,K
S,E
S,E
S,S
T,J
T,G
T,G
T,C
T,K
U,Q
U,D
U,Q
U,Q
U,Q
V,H
V,M
V,V
V,V
V,L
W,R
W,V
W,S
W,B
W,V
X,N
X,P
X,N
X,J
X,A
Y,C
Y,V
Y,X
Y,V
Y,Z
Z,E
Z,D
Z,Z
Z,P
Z,D
