Rotulo_Real,Classe_Predita
A,A
B,S
C,G
D,O
E,E
F,F
G,G
H,H
I,J
J,J
K,V
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,A
B,A
C,G
D,H
E,E
F,F
G,G
H,M
I,I
J,Z
K,K
L,Q
M,M
N,M
O,O
P,R
Q,G
R,R
S,S
T,Z
U,M
V,V
W,W
X,K
Y,K
Z,Q
A,A
B,B
C,C
D,H
E,E
F,F
G,G
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,R
Y,Y
Z,Z
A,W
B,B
C,O
D,L
E,A
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,J
N,F
O,O
P,P
Q,Q
R,R
S,S
T,F
U,U
V,Y
W,H
X,X
Y,T
Z,Z
A,W
B,S
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,R
L,W
M,J
N,N
O,G
P,R
Q,N
R,R
S,S
T,T
U,U
V,L
W,K
X,X
Y,Y
Z,J
