Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,L
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,B
C,C
D,Q
E,J
F,F
G,G
H,M
I,J
J,X
K,X
L,I
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,M
V,V
W,W
X,T
Y,Z
Z,Z
A,A
B,B
C,C
D,D
E,F
F,F
G,C
H,H
I,I
J,J
K,R
L,L
M,M
N,M
O,D
P,P
Q,Q
R,B
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,R
E,X
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,B
O,D
P,P
Q,Q
R,R
S,N
T,T
U,U
V,V
W,W
X,X
Y,X
Z,Z
A,W
B,B
C,Z
D,D
E,Z
F,F
G,W
H,Q
I,Z
J,J
K,R
L,L
M,M
N,N
O,D
P,R
Q,Q
R,R
S,S
T,C
U,U
V,V
W,W
X,A
Y,Y
Z,Z
