Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,M
L,I
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,F
A,B
B,A
C,C
D,R
E,R
F,F
G,G
H,H
I,J
J,J
K,R
L,E
M,M
N,N
O,R
P,R
Q,Q
R,R
S,A
T,T
U,Q
V,V
W,W
X,K
Y,F
Z,X
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,H
I,J
J,J
K,R
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,J
A,A
B,S
C,C
D,B
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,F
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,J
A,H
B,B
C,O
D,D
E,E
F,F
G,W
H,A
I,I
J,J
K,H
L,E
M,M
N,N
O,D
P,A
Q,Q
R,A
S,S
T,T
U,W
V,L
W,M
X,A
Y,V
Z,M
