Rotulo_Real,Classe_Predita
A,J
B,G
C,O
D,D
E,E
F,F
G,G
H,H
I,Z
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,O
D,H
E,J
F,F
G,Q
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,P
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,F
Z,Z
A,A
B,B
C,L
D,D
E,L
F,F
G,B
H,Q
I,I
J,J
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,I
U,G
V,V
W,W
X,X
Y,Y
Z,J
A,A
B,B
C,C
D,V
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,B
N,R
O,H
P,P
Q,Q
R,R
S,N
T,L
U,U
V,Y
W,A
X,X
Y,I
Z,Z
A,H
B,B
C,Z
D,D
E,P
F,F
G,G
H,A
I,J
J,J
K,H
L,G
M,J
N,Q
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,U
W,M
X,N
Y,T
Z,Z
