Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,V
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,B
B,R
C,C
D,Q
E,R
F,F
G,N
H,N
I,J
J,J
K,K
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,N
T,F
U,V
V,K
W,W
X,K
Y,K
Z,E
A,A
B,B
C,C
D,D
E,F
F,F
G,G
H,M
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,B
T,V
U,U
V,P
W,W
X,X
Y,Y
Z,J
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,Y
T,I
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,A
G,G
H,W
I,I
J,J
K,K
L,W
M,W
N,W
O,C
P,P
Q,Q
R,R
S,H
T,V
U,L
V,H
W,W
X,R
Y,Y
Z,Z
