Rotulo_Real,Classe_Predita
A,A
B,B
C,L
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,J
Z,Z
A,R
B,R
C,C
D,P
E,B
F,F
G,Q
H,H
I,F
J,Z
K,K
L,L
M,M
N,N
O,Q
P,R
Q,Q
R,R
S,K
T,T
U,V
V,V
W,W
X,K
Y,F
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,M
W,W
X,K
Y,V
Z,Z
A,A
B,S
C,C
D,V
E,E
F,F
G,G
H,H
I,I
J,V
K,K
L,L
M,D
N,X
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,X
Z,Z
A,W
B,B
C,Z
D,P
E,E
F,F
G,F
H,L
I,I
J,J
K,A
L,E
M,J
N,J
O,D
P,P
Q,Q
R,R
S,S
T,J
U,L
V,V
W,M
X,W
Y,P
Z,Z
