Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,O
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,P
C,P
D,P
E,R
F,F
G,F
H,H
I,J
J,J
K,R
L,K
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,Z
U,P
V,V
W,W
X,R
Y,T
Z,Z
A,A
B,R
C,C
D,D
E,E
F,A
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,K
O,O
P,P
Q,Q
R,K
S,S
T,L
U,U
V,Y
W,W
X,K
Y,Y
Z,Z
A,A
B,S
C,C
D,F
E,S
F,T
G,G
H,H
I,T
J,J
K,R
L,L
M,M
N,M
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,R
Y,Y
Z,Z
A,H
B,E
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,H
L,G
M,M
N,C
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,U
W,W
X,H
Y,Y
Z,J
