Rotulo_Real,Classe_Predita
A,A
B,Z
C,J
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,X
C,I
D,Q
E,R
F,F
G,Q
H,M
I,F
J,J
K,K
L,W
M,M
N,M
O,N
P,P
Q,Q
R,R
S,G
T,T
U,V
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,C
H,M
I,I
J,J
K,A
L,L
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,C
D,V
E,L
F,T
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,R
X,R
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,F
F,F
G,G
H,W
I,I
J,J
K,H
L,A
M,J
N,G
O,G
P,P
Q,Q
R,A
S,S
T,T
U,L
V,U
W,J
X,J
Y,P
Z,Z
