Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,T
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,G
C,C
D,R
E,R
F,F
G,G
H,M
I,J
J,J
K,K
L,L
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,G
T,T
U,U
V,V
W,W
X,K
Y,Z
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,B
I,T
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,J
A,A
B,B
C,C
D,U
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,M
B,B
C,Z
D,D
E,E
F,P
G,G
H,H
I,T
J,J
K,R
L,O
M,Y
N,K
O,G
P,P
Q,Q
R,A
S,S
T,T
U,W
V,U
W,W
X,X
Y,Y
Z,Z
