Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,E
F,F
G,G
H,H
I,C
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,U
R,R
S,J
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,J
C,O
D,Q
E,R
F,F
G,G
H,M
I,J
J,J
K,X
L,J
M,M
N,M
O,Q
P,R
Q,Q
R,R
S,J
T,Z
U,V
V,P
W,W
X,J
Y,E
Z,J
A,A
B,B
C,C
D,D
E,P
F,R
G,C
H,H
I,I
J,S
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,M
S,S
T,T
U,H
V,P
W,W
X,K
Y,Y
Z,Z
A,A
B,A
C,O
D,R
E,E
F,J
G,G
H,H
I,I
J,J
K,K
L,D
M,M
N,X
O,O
P,R
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,L
Z,Z
A,A
B,S
C,J
D,O
E,E
F,F
G,G
H,N
I,I
J,J
K,K
L,J
M,J
N,N
O,O
P,R
Q,Q
R,A
S,S
T,J
U,D
V,L
W,R
X,X
Y,Y
Z,R
