Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,I
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,Q
D,R
E,R
F,F
G,Q
H,M
I,F
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,G
T,T
U,N
V,V
W,W
X,K
Y,T
Z,Z
A,A
B,B
C,L
D,B
E,E
F,F
G,K
H,R
I,T
J,J
K,K
L,F
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,R
Y,Y
Z,J
A,L
B,B
C,Q
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,P
S,S
T,Y
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,H
B,J
C,L
D,O
E,E
F,F
G,G
H,W
I,Z
J,J
K,M
L,S
M,M
N,N
O,D
P,R
Q,Q
R,R
S,S
T,F
U,L
V,V
W,M
X,R
Y,Y
Z,Z
