Rotulo_Real,Classe_Predita
A,A
B,Z
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,D
E,R
F,F
G,R
H,M
I,J
J,J
K,K
L,X
M,W
N,M
O,R
P,R
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,R
Y,K
Z,X
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,P
N,X
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,T
X,X
Y,T
Z,Z
A,N
B,B
C,Z
D,D
E,E
F,F
G,A
H,A
I,I
J,J
K,E
L,S
M,M
N,I
O,J
P,P
Q,G
R,R
S,S
T,T
U,D
V,D
W,J
X,A
Y,T
Z,Z
