Rotulo_Real,Classe_Predita
A,A
B,B
C,I
D,D
E,T
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,V
Z,T
A,B
B,R
C,Q
D,D
E,L
F,F
G,O
H,M
I,I
J,J
K,K
L,X
M,H
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,Q
V,V
W,W
X,D
Y,T
Z,Z
A,A
B,B
C,K
D,D
E,E
F,F
G,K
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,U
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,Z
Y,Y
Z,Z
A,Y
B,B
C,Q
D,E
E,S
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,R
X,X
Y,L
Z,Z
A,H
B,B
C,Z
D,D
E,T
F,F
G,G
H,W
I,E
J,J
K,K
L,S
M,W
N,N
O,G
P,P
Q,Q
R,B
S,S
T,S
U,W
V,H
W,M
X,B
Y,E
Z,Z
