Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,E
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,Q
D,R
E,E
F,F
G,R
H,M
I,F
J,J
K,R
L,L
M,M
N,M
O,Q
P,R
Q,Q
R,R
S,G
T,L
U,Q
V,V
W,W
X,K
Y,L
Z,A
A,A
B,B
C,L
D,D
E,L
F,F
G,G
H,K
I,T
J,J
K,R
L,L
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,D
V,M
W,W
X,K
Y,Y
Z,J
A,A
B,O
C,O
D,B
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,R
O,H
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,H
X,X
Y,Y
Z,Z
A,W
B,R
C,Z
D,O
E,E
F,F
G,G
H,W
I,I
J,J
K,R
L,S
M,R
N,N
O,D
P,P
Q,Q
R,R
S,S
T,F
U,W
V,V
W,A
X,R
Y,J
Z,J
