Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,F
F,F
G,G
H,M
I,J
J,J
K,K
L,I
M,R
N,N
O,O
P,P
Q,Q
R,R
S,R
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,P
C,Q
D,P
E,Z
F,F
G,G
H,M
I,J
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,H
V,V
W,W
X,X
Y,X
Z,Z
A,A
B,B
C,C
D,D
E,F
F,F
G,E
H,H
I,J
J,J
K,A
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,U
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,X
M,M
N,N
O,Q
P,P
Q,G
R,R
S,S
T,T
U,U
V,Y
W,M
X,X
Y,Y
Z,Z
A,A
B,W
C,Z
D,O
E,Z
F,F
G,A
H,N
I,I
J,J
K,X
L,L
M,W
N,N
O,G
P,P
Q,Q
R,R
S,S
T,I
U,D
V,U
W,R
X,A
Y,Y
Z,P
