Rotulo_Real,Classe_Predita
A,A
B,S
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,T
W,W
X,I
Y,V
Z,Z
A,R
B,R
C,Q
D,O
E,R
F,F
G,G
H,H
I,I
J,J
K,K
L,R
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,C
U,M
V,V
W,W
X,K
Y,P
Z,Z
A,A
B,B
C,L
D,G
E,E
F,F
G,A
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,D
V,V
W,W
X,K
Y,V
Z,J
A,A
B,B
C,C
D,S
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,Y
S,S
T,T
U,U
V,Y
W,G
X,Z
Y,T
Z,Z
A,N
B,B
C,Z
D,O
E,E
F,F
G,A
H,A
I,I
J,J
K,R
L,L
M,O
N,K
O,R
P,P
Q,Q
R,R
S,S
T,T
U,K
V,V
W,Z
X,A
Y,P
Z,Z
