Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,T
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,X
A,B
B,G
C,Q
D,G
E,E
F,F
G,S
H,M
I,I
J,J
K,R
L,D
M,M
N,N
O,G
P,P
Q,Q
R,R
S,G
T,T
U,V
V,V
W,W
X,X
Y,T
Z,D
A,A
B,B
C,E
D,D
E,L
F,E
G,E
H,R
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,I
A,A
B,S
C,C
D,B
E,E
F,T
G,B
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,J
A,H
B,B
C,W
D,D
E,E
F,F
G,J
H,W
I,I
J,J
K,R
L,W
M,O
N,Q
O,D
P,P
Q,Q
R,R
S,G
T,T
U,D
V,L
W,M
X,A
Y,V
Z,J
