Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,P
E,E
F,F
G,G
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,R
B,R
C,C
D,O
E,R
F,F
G,G
H,M
I,J
J,J
K,K
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,K
T,T
U,V
V,V
W,W
X,K
Y,Y
Z,Z
A,B
B,B
C,C
D,D
E,E
F,F
G,G
H,Q
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,B
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,F
G,B
H,H
I,I
J,J
K,R
L,J
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,B
V,V
W,M
X,R
Y,Y
Z,Z
