Rotulo_Real,Classe_Predita
A,W
A,W
A,A
A,W
A,J
B,L
B,R
B,M
B,W
B,D
C,L
C,Z
C,W
C,Z
C,M
D,D
D,P
D,D
D,P
D,L
E,A
E,A
E,Z
E,A
E,P
F,R
F,F
F,P
F,F
F,F
G,W
G,K
G,A
G,I
G,E
H,A
H,A
H,A
H,W
H,A
I,T
I,T
I,O
I,G
I,Y
J,J
J,J
J,K
J,W
J,J
K,H
K,A
K,W
K,A
K,H
L,S
L,Z
L,E
L,S
L,S
M,M
M,M
M,W
M,M
M,N
N,K
N,M
N,S
N,H
N,M
O,D
O,W
O,G
O,S
O,F
P,P
P,A
P,P
P,A
P,P
Q,Q
Q,G
Q,N
Q,K
Q,Q
R,R
R,A
R,K
R,K
R,A
S,S
S,S
S,S
S,S
S,S
T,F
T,Y
T,L
T,J
T,K
U,L
U,W
U,Q
U,Q
U,Q
V,T
V,O
V,P
V,P
V,F
W,Q
W,I
W,W
W,M
W,M
X,N
X,A
X,N
X,W
X,K
Y,V
Y,S
Y,Y
Y,V
Y,U
Z,Z
Z,Z
Z,Z
Z,W
Z,Z
