Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,D
L,L
M,M
N,N
O,O
P,P
Q,C
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,G
D,Q
E,E
F,F
G,T
H,N
I,F
J,J
K,K
L,A
M,M
N,M
O,Q
P,R
Q,Q
R,R
S,F
T,T
U,M
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,L
F,F
G,G
H,N
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,K
Y,V
Z,Z
A,A
B,S
C,C
D,B
E,E
F,F
G,B
H,H
I,I
J,J
K,K
L,L
M,M
N,M
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,N
B,B
C,Z
D,O
E,E
F,F
G,G
H,A
I,Y
J,J
K,M
L,C
M,M
N,Q
O,D
P,P
Q,Q
R,R
S,S
T,T
U,L
V,V
W,L
X,A
Y,Y
Z,Z
