Rotulo_Real,Classe_Predita
A,A
B,B
C,Z
D,D
E,F
F,F
G,G
H,H
I,J
J,J
K,C
L,I
M,M
N,N
O,O
P,R
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,B
C,C
D,R
E,E
F,F
G,R
H,M
I,J
J,J
K,K
L,R
M,M
N,M
O,O
P,R
Q,G
R,R
S,S
T,T
U,R
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,F
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,V
Q,G
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,B
N,F
O,G
P,V
Q,G
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,M
B,B
C,Z
D,D
E,C
F,F
G,G
H,A
I,I
J,J
K,A
L,S
M,O
N,G
O,G
P,A
Q,G
R,A
S,S
T,T
U,D
V,L
W,W
X,X
Y,N
Z,Z
