Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,D
E,E
F,R
G,G
H,H
I,I
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,P
B,F
C,F
D,D
E,E
F,F
G,G
H,M
I,F
J,J
K,K
L,L
M,M
N,M
O,O
P,P
Q,O
R,R
S,K
T,T
U,T
V,V
W,W
X,K
Y,X
Z,Z
A,A
B,B
C,L
D,D
E,E
F,R
G,E
H,H
I,J
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,X
U,U
V,M
W,W
X,Z
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,V
N,B
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,F
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,P
E,E
F,R
G,G
H,W
I,I
J,J
K,N
L,S
M,P
N,N
O,D
P,P
Q,Q
R,B
S,S
T,T
U,U
V,H
W,W
X,X
Y,T
Z,Z
