Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,C
L,Z
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,C
D,D
E,E
F,F
G,D
H,H
I,I
J,J
K,T
L,A
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,F
U,D
V,V
W,W
X,T
Y,Z
Z,T
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,P
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,E
L,L
M,M
N,R
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,N
X,X
Y,Y
Z,Z
A,D
B,B
C,Z
D,O
E,E
F,F
G,J
H,N
I,I
J,J
K,A
L,Z
M,P
N,N
O,D
P,P
Q,G
R,R
S,S
T,T
U,Q
V,V
W,W
X,X
Y,X
Z,Z
