Rotulo_Real,Classe_Predita
A,A
B,R
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,M
E,C
F,F
G,G
H,M
I,Z
J,J
K,R
L,L
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,Z
U,V
V,V
W,W
X,K
Y,Z
Z,Z
A,A
B,B
C,C
D,D
E,B
F,F
G,W
H,R
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,O
R,B
S,S
T,T
U,U
V,V
W,W
X,X
Y,V
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,A
X,X
Y,T
Z,Z
A,H
B,R
C,Z
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,R
Q,Q
R,R
S,S
T,T
U,U
V,L
W,Q
X,A
Y,V
Z,Z
