Rotulo_Real,Classe_Predita
A,A
B,A
C,J
D,D
E,E
F,R
G,G
H,H
I,I
J,J
K,Y
L,J
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,K
B,J
C,Q
D,Q
E,J
F,F
G,G
H,H
I,J
J,X
K,K
L,L
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,R
V,P
W,W
X,T
Y,F
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,B
H,H
I,I
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,M
W,H
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,L
F,Y
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,B
O,O
P,M
Q,Q
R,R
S,S
T,T
U,U
V,X
W,V
X,X
Y,I
Z,Z
A,H
B,B
C,Z
D,Q
E,E
F,F
G,A
H,H
I,I
J,J
K,P
L,J
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,D
W,M
X,A
Y,Y
Z,E
