Rotulo_Real,Classe_Predita
A,A
B,S
C,B
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,I
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,R
E,R
F,F
G,G
H,H
I,I
J,P
K,K
L,A
M,M
N,N
O,R
P,P
Q,Q
R,R
S,G
T,Z
U,M
V,V
W,W
X,T
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,L
H,R
I,I
J,I
K,K
L,A
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,P
W,W
X,R
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,L
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,R
N,X
O,G
P,P
Q,Q
R,P
S,S
T,T
U,U
V,V
W,B
X,X
Y,X
Z,Z
A,H
B,G
C,L
D,Z
E,C
F,F
G,G
H,A
I,J
J,J
K,M
L,L
M,P
N,K
O,G
P,P
Q,Q
R,R
S,S
T,T
U,K
V,B
W,M
X,A
Y,T
Z,Z
