Rotulo_Real,Classe_Predita
A,S
A,W
A,H
A,M
A,G
B,R
B,J
B,D
B,K
B,D
C,K
C,J
C,W
C,X
C,E
D,O
D,Z
D,B
D,O
D,L
E,Z
E,J
E,E
E,J
E,B
F,R
F,F
F,A
F,E
F,J
G,G
G,G
G,A
G,X
G,X
H,L
H,A
H,N
H,N
H,X
I,Z
I,O
I,K
I,I
I,S
J,J
J,J
J,B
J,J
J,V
K,K
K,M
K,K
K,K
K,K
L,T
L,S
L,I
L,E
L,Z
M,B
M,M
M,M
M,M
M,A
N,Q
N,Q
N,K
N,H
N,M
O,O
O,H
O,O
O,O
O,A
P,J
P,A
P,B
P,R
P,P
Q,Q
Q,G
Q,Q
Q,Q
Q,Q
R,R
R,V
R,K
R,R
R,A
S,S
S,N
S,S
S,Y
S,K
T,T
T,H
T,S
T,O
T,K
U,L
U,O
U,M
U,Q
U,Q
V,V
V,D
V,H
V,P
V,V
W,W
W,M
W,E
W,M
W,X
X,N
X,H
X,N
X,J
X,J
Y,V
Y,J
Y,Y
Y,O
Y,P
Z,J
Z,D
Z,Z
Z,J
Z,Z
