Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,O
E,F
F,F
G,G
H,H
I,J
J,J
K,C
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,I
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,G
C,C
D,Q
E,E
F,F
G,G
H,H
I,T
J,Z
K,V
L,A
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,R
Y,T
Z,Z
A,A
B,B
C,C
D,B
E,F
F,F
G,G
H,H
I,I
J,J
K,K
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,I
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,X
M,M
N,S
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,B
X,X
Y,T
Z,Z
A,H
B,B
C,Z
D,O
E,Z
F,C
G,G
H,A
I,I
J,J
K,H
L,W
M,R
N,N
O,D
P,R
Q,Q
R,R
S,S
T,T
U,D
V,V
W,W
X,X
Y,Y
Z,Z
