Rotulo_Real,Classe_Predita
A,A
B,B
C,G
D,S
E,E
F,F
G,G
H,H
I,J
J,J
K,V
L,Z
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,O
D,Q
E,R
F,F
G,Q
H,M
I,F
J,J
K,X
L,R
M,M
N,M
O,O
P,P
Q,Q
R,R
S,X
T,T
U,V
V,V
W,W
X,X
Y,Y
Z,A
A,A
B,B
C,L
D,D
E,S
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,X
O,U
P,P
Q,Q
R,R
S,S
T,T
U,U
V,J
W,N
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,R
E,E
F,F
G,K
H,N
I,E
J,J
K,R
L,L
M,M
N,K
O,D
P,P
Q,Q
R,R
S,S
T,F
U,L
V,V
W,M
X,A
Y,Y
Z,Z
