Rotulo_Real,Classe_Predita
A,A
B,B
C,S
D,O
E,E
F,F
G,G
H,H
I,T
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,C
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,J
A,A
B,D
C,T
D,D
E,F
F,F
G,S
H,M
I,T
J,J
K,K
L,W
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,V
V,K
W,W
X,K
Y,F
Z,Z
A,A
B,B
C,L
D,D
E,E
F,R
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,K
Y,Y
Z,J
A,W
B,B
C,C
D,D
E,E
F,T
G,G
H,H
I,T
J,J
K,K
L,L
M,N
N,X
O,G
P,M
Q,I
R,R
S,S
T,T
U,U
V,Y
W,M
X,X
Y,Y
Z,S
A,N
B,B
C,L
D,J
E,E
F,R
G,A
H,A
I,T
J,J
K,H
L,I
M,M
N,N
O,G
P,R
Q,R
R,R
S,S
T,T
U,D
V,V
W,W
X,A
Y,M
Z,J
