Rotulo_Real,Classe_Predita
A,A
B,S
C,O
D,D
E,E
F,F
G,G
H,B
I,I
J,I
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,O
D,Q
E,R
F,F
G,E
H,M
I,I
J,J
K,R
L,A
M,M
N,H
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,M
V,V
W,W
X,K
Y,P
Z,K
A,A
B,B
C,L
D,D
E,B
F,F
G,G
H,D
I,I
J,J
K,R
L,S
M,M
N,R
O,D
P,P
Q,Q
R,R
S,B
T,X
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,F
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,H
B,S
C,Z
D,D
E,E
F,F
G,B
H,A
I,E
J,J
K,V
L,L
M,B
N,M
O,D
P,P
Q,Q
R,A
S,S
T,T
U,H
V,U
W,J
X,A
Y,Y
Z,Z
