Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,B
E,E
F,F
G,G
H,H
I,J
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,C
T,T
U,U
V,V
W,W
X,F
Y,Y
Z,Z
A,W
B,R
C,Q
D,Q
E,E
F,F
G,G
H,W
I,I
J,J
K,K
L,N
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,T
Z,Z
A,A
B,B
C,L
D,D
E,B
F,F
G,E
H,A
I,T
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,Q
D,V
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,G
P,P
Q,Q
R,P
S,S
T,T
U,U
V,V
W,P
X,X
Y,Y
Z,Z
A,H
B,B
C,L
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,H
L,C
M,P
N,N
O,G
P,P
Q,Q
R,R
S,S
T,T
U,D
V,V
W,M
X,L
Y,P
Z,Z
