Rotulo_Real,Classe_Predita
A,A
B,G
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,I
K,I
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,A
B,R
C,C
D,N
E,R
F,F
G,G
H,H
I,F
J,J
K,R
L,R
M,Y
N,N
O,O
P,P
Q,Q
R,R
S,G
T,T
U,U
V,V
W,W
X,K
Y,K
Z,C
A,W
B,B
C,L
D,B
E,E
F,F
G,L
H,H
I,I
J,J
K,E
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,S
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,W
E,E
F,F
G,G
H,W
I,I
J,J
K,K
L,J
M,W
N,N
O,D
P,D
Q,C
R,R
S,S
T,T
U,L
V,U
W,L
X,N
Y,P
Z,Z
