Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,D
A,A
B,D
C,Q
D,D
E,R
F,F
G,S
H,H
I,J
J,J
K,R
L,L
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,G
T,T
U,R
V,V
W,W
X,K
Y,Z
Z,Q
A,A
B,B
C,K
D,D
E,E
F,F
G,G
H,H
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,V
Z,Z
A,A
B,B
C,C
D,J
E,E
F,Y
G,S
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,R
X,X
Y,Y
Z,Z
A,H
B,B
C,L
D,D
E,E
F,C
G,A
H,H
I,I
J,J
K,R
L,I
M,M
N,N
O,D
P,P
Q,Q
R,P
S,B
T,T
U,W
V,L
W,W
X,H
Y,Y
Z,B
