Rotulo_Real,Classe_Predita
A,A
B,B
C,L
D,S
E,E
F,F
G,G
H,B
I,I
J,J
K,K
L,Z
M,M
N,N
O,O
P,P
Q,Q
R,R
S,O
T,T
U,O
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,T
D,R
E,F
F,F
G,U
H,A
I,Z
J,J
K,R
L,K
M,M
N,H
O,Q
P,P
Q,Q
R,R
S,X
T,F
U,V
V,V
W,W
X,V
Y,F
Z,R
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,V
G,G
H,M
I,I
J,J
K,K
L,L
M,M
N,G
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,R
X,X
Y,F
Z,Z
A,H
B,S
C,Z
D,D
E,E
F,F
G,W
H,A
I,I
J,J
K,A
L,L
M,M
N,N
O,G
P,P
Q,Q
R,A
S,S
T,T
U,L
V,E
W,W
X,H
Y,P
Z,Z
