Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,L
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,C
D,D
E,E
F,F
G,S
H,M
I,E
J,J
K,X
L,K
M,M
N,N
O,Q
P,K
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Z
Z,X
A,A
B,B
C,C
D,D
E,E
F,F
G,E
H,B
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,U
V,V
W,W
X,R
Y,Y
Z,Z
A,A
B,O
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,J
K,R
L,L
M,M
N,F
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,H
X,X
Y,Y
Z,Z
A,R
B,R
C,Z
D,D
E,E
F,A
G,A
H,H
I,I
J,J
K,R
L,O
M,W
N,N
O,C
P,R
Q,Q
R,A
S,S
T,E
U,O
V,U
W,O
X,R
Y,Z
Z,Z
