Rotulo_Real,Classe_Predita
A,X
A,H
A,H
A,Q
A,Q
B,T
B,B
B,G
B,B
B,P
C,X
C,Z
C,H
C,Z
C,Z
D,D
D,D
D,D
D,D
D,L
E,Z
E,F
E,P
E,P
E,E
F,F
F,F
F,F
F,C
F,P
G,V
G,J
G,J
G,X
G,G
H,N
H,M
H,N
H,M
H,H
I,T
I,Z
I,O
I,V
I,F
J,J
J,J
J,J
J,J
J,J
K,W
K,X
K,H
K,R
K,H
L,L
L,X
L,S
L,E
L,L
M,E
M,M
M,W
M,W
M,W
N,Q
N,L
N,W
N,M
N,N
O,D
O,W
O,B
O,S
O,F
P,F
P,F
P,P
P,R
P,R
Q,V
Q,G
Q,Y
Q,T
Q,Q
R,W
R,K
R,E
R,D
R,R
S,S
S,B
S,G
S,M
S,S
T,C
T,F
T,K
T,C
T,H
U,W
U,O
U,Q
U,W
U,Q
V,B
V,R
V,P
V,H
V,M
W,R
W,J
W,W
W,M
W,X
X,X
X,V
X,X
X,H
X,X
Y,S
Y,J
Y,Y
Y,M
Y,M
Z,Z
Z,F
Z,Z
Z,J
Z,O
