Rotulo_Real,Classe_Predita
A,A
B,Z
C,L
D,D
E,F
F,F
G,G
H,B
I,Z
J,J
K,C
L,I
M,M
N,W
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,Z
C,C
D,R
E,Z
F,E
G,Y
H,M
I,I
J,X
K,K
L,K
M,M
N,M
O,D
P,P
Q,Q
R,R
S,W
T,F
U,R
V,V
W,W
X,K
Y,Z
Z,Z
A,W
B,B
C,C
D,D
E,F
F,F
G,G
H,H
I,I
J,I
K,R
L,F
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,G
C,C
D,D
E,E
F,E
G,B
H,H
I,T
J,J
K,K
L,G
M,M
N,X
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,N
X,X
Y,Q
Z,I
A,W
B,Z
C,C
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,M
L,G
M,R
N,Q
O,A
P,P
Q,T
R,R
S,S
T,T
U,G
V,D
W,X
X,K
Y,Z
Z,Z
