Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,Z
F,F
G,G
H,H
I,J
J,J
K,V
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,O
D,O
E,B
F,F
G,N
H,M
I,J
J,J
K,A
L,S
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,F
U,V
V,V
W,W
X,X
Y,Z
Z,A
A,W
B,B
C,L
D,D
E,F
F,F
G,H
H,H
I,J
J,I
K,H
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,O
C,C
D,R
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,B
R,R
S,S
T,T
U,U
V,Y
W,H
X,X
Y,Y
Z,Z
A,H
B,B
C,I
D,D
E,Z
F,V
G,A
H,R
I,I
J,J
K,A
L,I
M,J
N,N
O,G
P,R
Q,Q
R,A
S,S
T,T
U,D
V,H
W,I
X,R
Y,Y
Z,B
