Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,U
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,Q
D,Q
E,R
F,F
G,T
H,M
I,J
J,J
K,K
L,R
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,X
U,Q
V,V
W,W
X,X
Y,X
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,H
I,I
J,J
K,X
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,J
B,B
C,C
D,B
E,E
F,T
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,S
O,G
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,J
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,O
E,E
F,F
G,G
H,W
I,T
J,J
K,R
L,I
M,S
N,G
O,D
P,P
Q,G
R,R
S,S
T,I
U,U
V,Q
W,G
X,A
Y,P
Z,Z
