Rotulo_Real,Classe_Predita
A,A
B,R
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,V
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,Q
E,R
F,F
G,R
H,H
I,J
J,J
K,K
L,R
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,O
T,Z
U,U
V,V
W,W
X,K
Y,K
Z,Z
A,W
B,B
C,C
D,U
E,F
F,F
G,U
H,H
I,J
J,J
K,K
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,Z
F,T
G,B
H,H
I,I
J,I
K,K
L,I
M,M
N,K
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,M
X,X
Y,Y
Z,Z
A,N
B,B
C,Z
D,Q
E,E
F,A
G,G
H,N
I,T
J,J
K,B
L,S
M,M
N,M
O,G
P,F
Q,Q
R,A
S,S
T,T
U,D
V,H
W,K
X,R
Y,Y
Z,Z
