Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,K
C,Q
D,D
E,K
F,F
G,R
H,M
I,F
J,J
K,K
L,K
M,M
N,N
O,O
P,P
Q,Q
R,R
S,T
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,L
D,D
E,D
F,F
G,C
H,R
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,M
V,M
W,W
X,K
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,K
O,G
P,P
Q,Q
R,R
S,N
T,T
U,U
V,V
W,H
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,Y
J,J
K,K
L,I
M,M
N,W
O,G
P,P
Q,Q
R,H
S,E
T,T
U,U
V,D
W,K
X,A
Y,T
Z,Z
