Rotulo_Real,Classe_Predita
A,A
B,J
C,O
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,L
M,M
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,B
Y,Y
Z,I
A,A
B,A
C,L
D,M
E,E
F,F
G,F
H,M
I,I
J,J
K,K
L,W
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,C
T,T
U,V
V,M
W,W
X,K
Y,T
Z,Z
A,N
B,B
C,L
D,D
E,F
F,F
G,A
H,B
I,I
J,J
K,K
L,F
M,M
N,N
O,D
P,P
Q,Q
R,B
S,S
T,T
U,H
V,M
W,W
X,K
Y,Y
Z,Z
A,W
B,S
C,C
D,F
E,E
F,M
G,G
H,H
I,I
J,J
K,K
L,L
M,B
N,S
O,H
P,P
Q,Q
R,R
S,S
T,T
U,H
V,Y
W,A
X,K
Y,T
Z,Z
A,H
B,J
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,K
L,I
M,I
N,A
O,G
P,P
Q,G
R,R
S,B
T,T
U,W
V,F
W,A
X,R
Y,T
Z,Z
