Rotulo_Real,Classe_Predita
A,W
A,W
A,A
A,A
A,A
B,B
B,S
B,W
B,B
B,D
C,X
C,C
C,W
C,Z
C,H
D,B
D,S
D,D
D,D
D,O
E,E
E,T
E,P
E,B
E,R
F,R
F,D
F,X
F,L
F,F
G,A
G,A
G,A
G,A
G,W
H,L
H,D
H,W
H,H
H,A
I,Z
I,T
I,Y
I,C
I,K
J,J
J,J
J,K
J,J
J,G
K,W
K,R
K,W
K,A
K,W
L,S
L,S
L,E
L,C
L,Z
M,B
M,M
M,B
M,P
M,G
N,N
N,M
N,K
N,M
N,N
O,D
O,Z
O,G
O,G
O,D
P,R
P,E
P,P
P,R
P,P
Q,Q
Q,G
Q,Q
Q,G
Q,Q
R,R
R,R
R,W
R,R
R,R
S,S
S,S
S,G
S,S
S,S
T,R
T,P
T,K
T,K
T,E
U,L
U,B
U,V
U,I
U,Q
V,B
V,D
V,U
V,P
V,L
W,W
W,S
W,W
W,Y
W,W
X,N
X,R
X,N
X,R
X,X
Y,X
Y,T
Y,P
Y,P
Y,Y
Z,C
Z,P
Z,Y
Z,J
Z,Z
