Rotulo_Real,Classe_Predita
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,C
L,L
M,V
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,R
D,D
E,R
F,F
G,R
H,M
I,J
J,J
K,K
L,L
M,R
N,N
O,M
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Y
Z,K
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,H
I,J
J,J
K,R
L,L
M,M
N,N
O,G
P,P
Q,Q
R,R
S,S
T,Y
U,U
V,P
W,W
X,X
Y,V
Z,Z
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,L
M,M
N,F
O,G
P,P
Q,Q
R,J
S,S
T,T
U,U
V,V
W,R
X,X
Y,X
Z,Z
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,S
I,Y
J,J
K,R
L,S
M,M
N,O
O,A
P,P
Q,N
R,R
S,B
T,T
U,U
V,U
W,W
X,X
Y,T
Z,B
