Rotulo_Real,Classe_Predita
A,G
A,H
A,H
A,D
A,N
B,O
B,A
B,O
B,W
B,B
C,Z
C,Z
C,A
C,Z
C,V
D,P
D,C
D,P
D,Q
D,D
E,Z
E,S
E,D
E,R
E,P
F,A
F,F
F,P
F,F
F,E
G,N
G,J
G,G
G,X
G,S
H,A
H,W
H,N
H,W
H,W
I,Z
I,Y
I,Y
I,C
I,V
J,J
J,J
J,X
J,X
J,J
K,K
K,R
K,H
K,H
K,X
L,S
L,Z
L,W
L,W
L,A
M,B
M,W
M,W
M,M
M,R
N,A
N,W
N,M
N,M
N,H
O,D
O,W
O,O
O,D
O,D
P,A
P,R
P,B
P,A
P,P
Q,J
Q,S
Q,V
Q,Q
Q,Q
R,R
R,R
R,H
R,P
R,A
S,E
S,H
S,S
S,S
S,S
T,C
T,P
T,S
T,J
T,R
U,D
U,D
U,Q
U,Q
U,D
V,V
V,R
V,B
V,M
V,V
W,M
W,X
W,W
W,Y
W,Q
X,N
X,R
X,A
X,J
X,A
Y,Z
Y,T
Y,P
Y,P
Y,P
Z,Z
Z,C
Z,Z
Z,D
Z,Z
