Rotulo_Real,Classe_Predita
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,H
I,T
J,J
K,T
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,C
D,D
E,R
F,F
G,N
H,H
I,F
J,Z
K,K
L,A
M,M
N,M
O,R
P,P
Q,R
R,R
S,S
T,T
U,R
V,V
W,W
X,T
Y,Z
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,L
H,R
I,I
J,J
K,K
L,L
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,I
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,Y
M,Y
N,S
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,H
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,T
J,J
K,R
L,S
M,D
N,Q
O,G
P,P
Q,Q
R,R
S,S
T,T
U,W
V,V
W,W
X,X
Y,Y
Z,Z
