Rotulo_Real,Classe_Predita
A,W
A,A
A,A
A,A
A,N
B,B
B,B
B,K
B,B
B,P
C,W
C,Q
C,X
C,W
C,L
D,D
D,D
D,D
D,X
D,L
E,K
E,K
E,E
E,R
E,E
F,R
F,P
F,L
F,E
F,K
G,W
G,X
G,A
G,W
G,G
H,M
H,W
H,W
H,A
H,D
I,Z
I,Z
I,S
I,U
I,F
J,J
J,O
J,J
J,J
J,J
K,K
K,R
K,K
K,K
K,K
L,L
L,S
L,C
L,L
L,L
M,F
M,M
M,M
M,M
M,N
N,A
N,U
N,L
N,M
N,N
O,N
O,H
O,G
O,G
O,P
P,R
P,E
P,P
P,R
P,P
Q,P
Q,F
Q,Q
Q,N
Q,Q
R,E
R,R
R,K
R,R
R,A
S,F
S,X
S,S
S,S
S,S
T,F
T,F
T,T
T,T
T,K
U,W
U,D
U,M
U,Q
U,W
V,L
V,D
V,B
V,D
V,F
W,W
W,K
W,L
W,M
W,X
X,K
X,R
X,K
X,A
X,K
Y,U
Y,U
Y,M
Y,J
Y,P
Z,Z
Z,Z
Z,Z
Z,L
Z,Z
