Rotulo_Real,Classe_Predita
A,A
B,B
C,C
D,D
E,F
F,F
G,G
H,H
I,J
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,I
Z,Z
A,W
B,D
C,C
D,D
E,J
F,F
G,S
H,D
I,J
J,J
K,K
L,K
M,M
N,N
O,Q
P,P
Q,Q
R,T
S,S
T,T
U,N
V,V
W,W
X,K
Y,T
Z,Z
A,A
B,B
C,C
D,D
E,L
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,B
P,P
Q,Q
R,B
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,J
E,E
F,F
G,G
H,B
I,I
J,J
K,K
L,L
M,M
N,S
O,O
P,P
Q,Q
R,J
S,S
T,T
U,U
V,X
W,W
X,X
Y,X
Z,Z
A,A
B,B
C,Z
D,D
E,D
F,F
G,G
H,A
I,I
J,J
K,H
L,S
M,M
N,Q
O,D
P,J
Q,Q
R,D
S,S
T,T
U,L
V,V
W,L
X,X
Y,Y
Z,Z
