Rotulo_Real,Classe_Predita
A,A
B,B
C,E
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,B
B,D
C,Q
D,D
E,K
F,F
G,D
H,M
I,T
J,J
K,K
L,L
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,K
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,G
H,H
I,I
J,I
K,E
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,R
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,S
O,G
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,A
X,X
Y,Y
Z,Z
A,N
B,B
C,Z
D,P
E,E
F,F
G,G
H,A
I,I
J,J
K,X
L,L
M,M
N,C
O,G
P,F
Q,Q
R,R
S,S
T,T
U,L
V,U
W,W
X,X
Y,Y
Z,Z
