Rotulo_Real,Classe_Predita
A,A
A,W
A,H
A,A
A,G
B,S
B,B
B,O
B,B
B,P
C,L
C,V
C,W
C,Z
C,L
D,D
D,J
D,O
D,Z
D,U
E,P
E,E
E,P
E,R
E,P
F,E
F,R
F,A
F,F
F,F
G,W
G,W
G,A
G,X
G,E
H,N
H,H
H,D
H,W
H,X
I,J
I,Z
I,P
I,T
I,J
J,J
J,J
J,E
J,Z
J,J
K,K
K,X
K,L
K,X
K,K
L,S
L,E
L,W
L,W
L,W
M,I
M,R
M,W
M,W
M,R
N,G
N,L
N,X
N,M
N,N
O,G
O,H
O,G
O,D
O,D
P,A
P,R
P,P
P,P
P,P
Q,V
Q,G
Q,Q
Q,Q
Q,Q
R,R
R,R
R,E
R,R
R,G
S,S
S,W
S,G
S,S
S,G
T,C
T,F
T,K
T,T
T,E
U,U
U,W
U,M
U,Q
U,Q
V,V
V,O
V,V
V,P
V,V
W,W
W,Q
W,W
W,P
W,Q
X,W
X,A
X,N
X,A
X,H
Y,V
Y,P
Y,Y
Y,P
Y,P
Z,J
Z,P
Z,B
Z,M
Z,X
