Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,I
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,Y
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,R
C,W
D,D
E,Y
F,F
G,G
H,H
I,I
J,J
K,R
L,K
M,M
N,M
O,Q
P,P
Q,Q
R,R
S,S
T,F
U,U
V,V
W,W
X,K
Y,E
Z,Z
A,A
B,B
C,L
D,D
E,F
F,F
G,G
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,Y
U,U
V,M
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,G
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,G
P,P
Q,Q
R,R
S,S
T,Y
U,U
V,Y
W,R
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,W
H,N
I,I
J,J
K,K
L,E
M,O
N,N
O,O
P,P
Q,Q
R,R
S,S
T,F
U,L
V,U
W,K
X,X
Y,F
Z,B
