Rotulo_Real,Classe_Predita
A,A
B,B
C,O
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,L
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,P
B,D
C,C
D,O
E,R
F,F
G,Q
H,M
I,J
J,J
K,R
L,K
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,P
U,Q
V,V
W,W
X,R
Y,Y
Z,M
A,K
B,B
C,C
D,D
E,L
F,J
G,K
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,H
P,P
Q,H
R,R
S,S
T,I
U,U
V,V
W,W
X,B
Y,Y
Z,J
A,A
B,B
C,C
D,C
E,E
F,J
G,G
H,H
I,I
J,J
K,K
L,N
M,R
N,X
O,H
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,H
X,X
Y,Y
Z,J
A,N
B,B
C,W
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,K
L,S
M,P
N,W
O,G
P,P
Q,Q
R,R
S,S
T,T
U,W
V,U
W,I
X,W
Y,Y
Z,Z
