Rotulo_Real,Classe_Predita
A,A
B,G
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,L
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,N
B,G
C,C
D,Q
E,Z
F,F
G,R
H,M
I,J
J,X
K,X
L,A
M,M
N,M
O,R
P,R
Q,G
R,R
S,S
T,P
U,V
V,V
W,W
X,P
Y,P
Z,A
A,A
B,B
C,C
D,D
E,E
F,E
G,G
H,H
I,J
J,E
K,R
L,L
M,M
N,N
O,O
P,P
Q,H
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,J
A,A
B,G
C,C
D,D
E,E
F,F
G,S
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,G
P,P
Q,G
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,X
Z,J
A,J
B,J
C,Z
D,O
E,E
F,J
G,W
H,N
I,J
J,J
K,Z
L,I
M,J
N,N
O,G
P,F
Q,Q
R,H
S,S
T,T
U,O
V,V
W,A
X,A
Y,X
Z,Z
