Rotulo_Real,Classe_Predita
A,A
B,D
C,C
D,O
E,F
F,F
G,G
H,H
I,I
J,J
K,L
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,G
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,B
C,C
D,O
E,T
F,F
G,G
H,M
I,I
J,J
K,K
L,A
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,Q
V,V
W,W
X,K
Y,Y
Z,T
A,R
B,B
C,E
D,D
E,L
F,F
G,E
H,U
I,I
J,I
K,R
L,L
M,M
N,N
O,O
P,P
Q,U
R,B
S,S
T,T
U,D
V,P
W,W
X,K
Y,Y
Z,Z
A,W
B,B
C,C
D,C
E,L
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,A
N,R
O,G
P,P
Q,C
R,R
S,S
T,T
U,U
V,Y
W,B
X,K
Y,Y
Z,Z
A,B
B,B
C,Z
D,J
E,C
F,F
G,B
H,A
I,I
J,J
K,X
L,S
M,J
N,K
O,D
P,R
Q,Q
R,A
S,S
T,T
U,U
V,U
W,G
X,X
Y,Y
Z,J
