Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,S
E,E
F,F
G,G
H,H
I,J
J,J
K,I
L,L
M,V
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,R
C,C
D,D
E,R
F,F
G,T
H,D
I,J
J,J
K,K
L,R
M,X
N,N
O,D
P,P
Q,Q
R,R
S,F
T,T
U,V
V,V
W,W
X,K
Y,Y
Z,A
A,A
B,B
C,C
D,D
E,E
F,F
G,E
H,H
I,I
J,I
K,K
L,L
M,A
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,G
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,B
N,R
O,O
P,J
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,Z
F,F
G,G
H,A
I,I
J,J
K,K
L,S
M,J
N,Q
O,A
P,A
Q,Q
R,R
S,S
T,T
U,L
V,V
W,A
X,X
Y,Y
Z,Z
