Rotulo_Real,Classe_Predita
A,A
B,B
C,L
D,D
E,E
F,F
G,G
H,H
I,Y
J,J
K,C
L,I
M,M
N,N
O,O
P,B
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,G
D,R
E,E
F,F
G,G
H,H
I,F
J,J
K,K
L,L
M,M
N,N
O,Q
P,R
Q,Q
R,R
S,G
T,T
U,M
V,V
W,W
X,K
Y,F
Z,Z
A,A
B,B
C,C
D,D
E,L
F,F
G,C
H,K
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,B
Q,Q
R,R
S,S
T,I
U,U
V,M
W,W
X,X
Y,V
Z,Z
A,W
B,Q
C,C
D,D
E,E
F,T
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,F
O,O
P,R
Q,Q
R,R
S,S
T,T
U,U
V,V
W,H
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,S
H,N
I,Y
J,J
K,K
L,L
M,M
N,Q
O,D
P,T
Q,M
R,F
S,S
T,T
U,U
V,V
W,J
X,A
Y,V
Z,Z
