Rotulo_Real,Classe_Predita
A,N
A,H
A,H
A,K
A,Q
B,S
B,J
B,M
B,W
B,D
C,K
C,O
C,U
C,C
C,V
D,D
D,V
D,O
D,D
D,L
E,R
E,D
E,F
E,W
E,H
F,A
F,F
F,K
F,A
F,F
G,J
G,W
G,J
G,W
G,G
H,W
H,K
H,D
H,H
H,W
I,T
I,T
I,Y
I,G
I,Y
J,J
J,J
J,J
J,D
J,J
K,X
K,A
K,K
K,A
K,H
L,E
L,E
L,W
L,L
L,E
M,W
M,W
M,W
M,M
M,M
N,K
N,H
N,N
N,M
N,N
O,D
O,W
O,G
O,D
O,G
P,W
P,E
P,P
P,R
P,P
Q,V
Q,G
Q,C
Q,Q
Q,Q
R,R
R,R
R,E
R,A
R,P
S,S
S,N
S,S
S,Y
S,S
T,C
T,K
T,K
T,T
T,V
U,L
U,W
U,Q
U,O
U,Q
V,U
V,K
V,P
V,D
V,L
W,M
W,M
W,M
W,M
W,W
X,N
X,M
X,X
X,M
X,L
Y,V
Y,T
Y,M
Y,P
Y,V
Z,C
Z,P
Z,S
Z,M
Z,D
