Rotulo_Real,Classe_Predita
A,A
B,R
C,C
D,D
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,R
D,R
E,E
F,F
G,G
H,M
I,J
J,J
K,K
L,A
M,M
N,M
O,R
P,R
Q,R
R,R
S,S
T,T
U,B
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,L
D,D
E,A
F,F
G,G
H,M
I,I
J,J
K,B
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,U
W,W
X,K
Y,Y
Z,Z
A,A
B,G
C,C
D,J
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,R
O,O
P,M
Q,I
R,R
S,S
T,I
U,U
V,Y
W,M
X,X
Y,Y
Z,Z
A,W
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,J
J,J
K,K
L,E
M,M
N,N
O,D
P,A
Q,Q
R,A
S,S
T,T
U,D
V,V
W,R
X,A
Y,I
Z,Z
