Rotulo_Real,Classe_Predita
A,A
B,D
C,D
D,Q
E,E
F,F
G,G
H,H
I,I
J,J
K,L
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,R
D,D
E,R
F,F
G,P
H,P
I,I
J,J
K,K
L,W
M,M
N,M
O,O
P,P
Q,Q
R,R
S,S
T,T
U,B
V,V
W,W
X,R
Y,F
Z,Z
A,A
B,B
C,L
D,D
E,E
F,F
G,G
H,H
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,B
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,H
X,X
Y,T
Z,Z
A,H
B,D
C,Z
D,D
E,E
F,F
G,A
H,A
I,I
J,J
K,M
L,I
M,M
N,W
O,A
P,R
Q,Q
R,R
S,S
T,T
U,Q
V,U
W,Z
X,A
Y,V
Z,Z
